feature,importance_mean,importance_std,category
sent_count,-0.006186712881594669,0.002014511623759355,Sentiment
ma_50,-0.002590170787124344,0.00048644933998548634,Price/Technical
ma_20,-0.0012955332233258547,0.0009010415235997041,Price/Technical
ma_ratio_5,-0.0010693710916545652,0.0005537061106752878,Price/Technical
ma_10,-0.0006228152050138423,0.0010726195499871922,Price/Technical
Volume,-0.0002796987914053392,0.0014504699686669579,Volume
sent_min,0.00016112330812358437,0.0004595053592566627,Sentiment
returns,0.0009235019101602613,0.0006567141844788857,Price/Technical
log_returns,0.0011780088598898502,0.0005187459273265482,Price/Technical
ma_ratio_10,0.0013740127177014315,0.00105158158660473,Price/Technical
High,0.0014434654898686785,0.0008199829345993171,Price/Technical
Open,0.0014928766744957314,0.0013032080426919725,Price/Technical
sent_std,0.001512229964353953,0.0005882177470659,Sentiment
ma_5,0.0020731187454760647,0.0012767347384178788,Price/Technical
sent_max,0.0022356468610298884,0.0006586359730259575,Sentiment
volatility_5,0.002987505911255096,0.0017618204578761971,Other
sent_mean,0.0031260469855230303,0.0007763052932900052,Sentiment
Low,0.0034047287287299385,0.0011000460309611325,Price/Technical
volatility_20,0.003544481703077212,0.0013286372212368454,Other
price_range,0.004713068129167878,0.0010684125267450904,Price/Technical
Adj Close,0.004909661257759972,0.001554641019417753,Price/Technical
ma_ratio_20,0.005355414279780379,0.0025784692872775623,Price/Technical
ma_ratio_50,0.007108249929133312,0.0016853714184800975,Price/Technical
volume_ratio,0.007167606883199774,0.0018056983542293628,Volume
macd,0.007936849622485321,0.0019660025670122615,Price/Technical
rsi,0.013902511451822738,0.0030329121041594055,Price/Technical
